target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc	description of target
SNARE_assoc	PF09335.11	120	TARA_ION_MAG_00012_000000000010_37	-	197	3.3e-22	79.2	4.5	1	1	3e-26	5.4e-22	78.5	4.5	1	119	25	155	25	156	0.98	SNARE associated Golgi protein
SSB	PF00436.25	104	TARA_ION_MAG_00012_000000000010_38	-	122	2.5e-28	98.2	0.0	1	1	1.6e-32	2.9e-28	97.9	0.0	1	103	3	100	3	101	0.97	Single-strand binding protein family
MreB_Mbl	PF06723.13	327	TARA_ION_MAG_00012_000000000010_39	-	351	5.7e-138	459.2	4.3	1	1	1.4e-141	6.5e-138	459.0	4.3	2	326	10	335	9	336	0.99	MreB/Mbl protein
MreC	PF04085.14	150	TARA_ION_MAG_00012_000000000010_40	-	221	2.1e-30	105.6	1.3	1	1	1.5e-34	2.6e-30	105.3	1.3	2	150	73	217	72	217	0.93	rod shape-determining protein MreC
Response_reg	PF00072.24	112	TARA_ION_MAG_00012_000000000010_42	-	249	1.4e-33	115.4	0.0	1	1	9.4e-37	8.4e-33	112.9	0.0	1	111	6	114	6	115	0.98	Response regulator receiver domain
Trans_reg_C	PF00486.28	77	TARA_ION_MAG_00012_000000000010_42	-	249	1.9e-25	88.7	0.0	1	1	4.5e-29	4e-25	87.7	0.0	1	76	158	235	158	236	0.98	Transcriptional regulatory protein, C terminal
tRNA-synt_2	PF00152.20	314	TARA_ION_MAG_00012_000000000010_43	-	513	4.4e-83	278.9	0.0	1	1	9.6e-87	5.8e-83	278.6	0.0	3	313	156	494	154	495	0.90	tRNA synthetases class II (D, K and N)
SmpB	PF01668.18	144	TARA_ION_MAG_00012_000000000010_45	-	158	1.1e-54	184.2	2.3	1	1	7.1e-59	1.3e-54	184.0	2.3	2	142	15	155	14	157	0.98	SmpB protein
RuvB_N	PF05496.12	159	TARA_ION_MAG_00012_000000000010_46	-	351	6.8e-64	214.4	0.0	1	1	3.7e-67	9.5e-64	213.9	0.0	2	158	42	198	41	199	0.99	Holliday junction DNA helicase RuvB P-loop domain
RuvB_C	PF05491.13	72	TARA_ION_MAG_00012_000000000010_46	-	351	1.1e-24	86.1	0.0	1	1	1.1e-27	2.9e-24	84.7	0.0	2	72	278	347	277	347	0.98	RuvB C-terminal winged helix domain
AAA_lid_4	PF17864.1	74	TARA_ION_MAG_00012_000000000010_46	-	351	6.4e-22	77.1	0.4	1	1	5.4e-25	1.4e-21	76.0	0.4	1	74	202	276	202	276	0.96	RuvB AAA lid domain
AAA_5	PF07728.14	138	TARA_ION_MAG_00012_000000000010_46	-	351	2.9e-10	40.3	0.1	1	1	1e-12	2.6e-09	37.2	0.1	1	138	75	193	75	193	0.90	AAA domain (dynein-related subfamily)
TPR_16	PF13432.6	68	TARA_ION_MAG_00012_000000000010_47	-	257	5.4e-13	49.4	2.7	2	3	7e-08	0.00016	22.3	0.1	1	65	132	193	132	194	0.96	Tetratricopeptide repeat
Peptidase_M20	PF01546.28	207	TARA_ION_MAG_00012_000000000010_48	-	387	2.7e-24	86.0	0.0	1	1	3.6e-28	3.3e-24	85.8	0.0	2	205	75	381	74	383	0.87	Peptidase family M20/M25/M40
DUF3188	PF11384.8	50	TARA_ION_MAG_00012_000000000010_49	-	71	2e-06	27.4	0.0	1	1	1.8e-10	3.2e-06	26.8	0.0	2	49	13	58	13	59	0.97	Protein of unknown function (DUF3188)
ThiC_Rad_SAM	PF01964.18	418	TARA_ION_MAG_00012_000000000010_50	-	457	2.3e-193	642.7	0.0	1	1	1.6e-197	2.8e-193	642.4	0.0	1	414	16	434	16	438	0.99	Radical SAM ThiC family
Transketolase_N	PF00456.21	334	TARA_ION_MAG_00012_000000000010_51	-	669	4.2e-155	515.7	0.0	1	1	1.2e-158	5.6e-155	515.4	0.0	3	334	10	342	8	342	0.99	Transketolase, thiamine diphosphate binding domain
Transket_pyr	PF02779.24	178	TARA_ION_MAG_00012_000000000010_51	-	669	4.4e-44	150.3	0.0	1	1	1.6e-47	7.4e-44	149.5	0.0	2	176	358	531	357	533	0.97	Transketolase, pyrimidine binding domain
DXP_synthase_N	PF13292.6	273	TARA_ION_MAG_00012_000000000010_51	-	669	3.4e-06	26.5	0.0	1	1	1.9e-09	8.4e-06	25.2	0.0	19	191	9	213	3	245	0.72	1-deoxy-D-xylulose-5-phosphate synthase
ketoacyl-synt	PF00109.26	253	TARA_ION_MAG_00012_000000000010_52	-	415	2.8e-54	184.4	0.1	1	1	4.5e-58	4e-54	183.8	0.1	3	253	6	248	4	248	0.92	Beta-ketoacyl synthase, N-terminal domain
Ketoacyl-synt_C	PF02801.22	118	TARA_ION_MAG_00012_000000000010_52	-	415	5.3e-36	123.2	0.3	1	1	9.7e-40	8.7e-36	122.5	0.3	1	117	256	370	256	371	0.98	Beta-ketoacyl synthase, C-terminal domain
PTPS	PF01242.19	123	TARA_ION_MAG_00012_000000000011_1	-	157	4.5e-26	91.2	0.1	1	1	3.1e-30	5.6e-26	90.9	0.1	4	121	12	148	9	149	0.96	6-pyruvoyl tetrahydropterin synthase
PRA-CH	PF01502.18	74	TARA_ION_MAG_00012_000000000011_2	-	228	2e-33	114.0	0.6	1	1	5.6e-37	3.3e-33	113.3	0.6	1	74	42	116	42	116	0.98	Phosphoribosyl-AMP cyclohydrolase
MazG	PF03819.17	74	TARA_ION_MAG_00012_000000000011_2	-	228	0.00013	22.1	0.1	1	1	4.3e-08	0.00026	21.1	0.1	3	59	166	218	164	224	0.83	MazG nucleotide pyrophosphohydrolase domain
Sigma70_r2	PF04542.14	71	TARA_ION_MAG_00012_000000000011_3	-	308	1.6e-21	75.8	1.0	1	1	5.6e-25	2.5e-21	75.2	0.1	1	70	69	138	69	139	0.97	Sigma-70 region 2
Sigma70_r3	PF04539.16	78	TARA_ION_MAG_00012_000000000011_3	-	308	5.9e-09	35.9	1.0	1	1	2.6e-11	1.2e-07	31.7	0.6	1	65	148	212	148	227	0.83	Sigma-70 region 3
DUF1232	PF06803.12	37	TARA_ION_MAG_00012_000000000011_4	-	123	5.5e-14	51.7	4.1	1	1	4.3e-18	7.8e-14	51.2	4.1	2	36	60	94	59	95	0.95	Protein of unknown function (DUF1232)
AbrB-like	PF14250.6	70	TARA_ION_MAG_00012_000000000011_7	-	148	1.5e-28	98.7	0.5	1	1	1.4e-32	2.5e-28	98.0	0.5	1	70	70	139	70	139	0.98	AbrB-like transcriptional regulator
Trp_syntA	PF00290.20	259	TARA_ION_MAG_00012_000000000011_8	-	266	3.5e-91	304.6	0.0	1	1	4.6e-95	4.1e-91	304.4	0.0	1	257	8	262	8	264	0.96	Tryptophan synthase alpha chain
DUF3007	PF11460.8	96	TARA_ION_MAG_00012_000000000011_9	-	106	1e-26	93.0	0.1	1	1	6.2e-31	1.1e-26	92.9	0.1	1	95	1	102	1	103	0.97	Protein of unknown function (DUF3007)
Na_Ca_ex	PF01699.24	151	TARA_ION_MAG_00012_000000000011_11	-	359	8.1e-50	168.7	39.7	1	2	6.3e-26	1.1e-21	77.3	16.5	6	142	11	139	6	147	0.87	Sodium/calcium exchanger protein
Na_Ca_ex	PF01699.24	151	TARA_ION_MAG_00012_000000000011_11	-	359	8.1e-50	168.7	39.7	2	2	2.9e-33	5.3e-29	101.1	10.3	6	147	180	317	176	321	0.85	Sodium/calcium exchanger protein
Pyr_redox_2	PF07992.14	294	TARA_ION_MAG_00012_000000000011_12	-	454	1.6e-57	195.0	0.0	1	1	7e-61	2.1e-57	194.6	0.0	1	294	5	322	5	322	0.95	Pyridine nucleotide-disulphide oxidoreductase
Pyr_redox_dim	PF02852.22	110	TARA_ION_MAG_00012_000000000011_12	-	454	5.2e-28	97.5	0.2	1	1	2.8e-31	8.4e-28	96.8	0.2	1	109	342	452	342	453	0.95	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
Pyr_redox_3	PF13738.6	305	TARA_ION_MAG_00012_000000000011_12	-	454	3.5e-17	62.6	1.5	1	1	4.6e-16	1.4e-12	47.5	0.0	122	305	135	306	98	306	0.86	Pyridine nucleotide-disulphide oxidoreductase
GST_N_3	PF13417.6	75	TARA_ION_MAG_00012_000000000011_13	-	408	1e-14	54.7	0.0	1	1	3.7e-18	2.2e-14	53.6	0.0	7	72	53	121	50	126	0.96	Glutathione S-transferase, N-terminal domain
GST_N	PF02798.20	76	TARA_ION_MAG_00012_000000000011_13	-	408	7.7e-05	23.0	0.0	1	1	2.4e-08	0.00014	22.1	0.0	15	70	57	112	42	117	0.86	Glutathione S-transferase, N-terminal domain
Bac_DnaA	PF00308.18	219	TARA_ION_MAG_00012_000000000011_14	-	463	8.3e-91	303.7	0.0	1	1	2.7e-94	1.2e-90	303.1	0.0	1	217	123	339	123	341	0.99	Bacterial dnaA  protein
Bac_DnaA_C	PF08299.11	69	TARA_ION_MAG_00012_000000000011_14	-	463	1.4e-26	92.3	0.0	1	1	1.5e-29	6.7e-26	90.1	0.0	2	69	366	433	365	433	0.97	Bacterial dnaA protein helix-turn-helix
IstB_IS21	PF01695.17	178	TARA_ION_MAG_00012_000000000011_14	-	463	3.8e-12	46.3	0.0	1	1	1.8e-15	7.9e-12	45.3	0.0	49	153	158	265	119	271	0.91	IstB-like ATP binding protein
DUF2064	PF09837.9	123	TARA_ION_MAG_00012_000000000011_15	-	203	2.5e-23	82.2	0.0	1	1	3.4e-27	3.1e-23	81.9	0.0	4	122	40	164	34	165	0.85	Uncharacterized protein conserved in bacteria (DUF2064)
Glycos_transf_2	PF00535.26	170	TARA_ION_MAG_00012_000000000011_16	-	228	4.3e-16	59.2	0.0	1	1	6.2e-20	5.6e-16	58.8	0.0	1	127	5	123	5	177	0.82	Glycosyl transferase family 2
Acetyltransf_10	PF13673.7	127	TARA_ION_MAG_00012_000000000011_17	-	177	1.1e-09	38.3	0.0	1	1	2.7e-13	1.6e-09	37.8	0.0	41	107	93	162	79	171	0.89	Acetyltransferase (GNAT) domain
ABC_membrane	PF00664.23	274	TARA_ION_MAG_00012_000000000011_18	-	598	5.1e-40	137.9	11.6	1	1	7.5e-44	6.7e-40	137.5	11.6	3	273	25	302	23	303	0.96	ABC transporter transmembrane region
ABC_tran	PF00005.27	137	TARA_ION_MAG_00012_000000000011_18	-	598	1e-34	120.0	0.1	1	1	2.4e-38	2.2e-34	118.9	0.1	2	137	373	520	372	520	0.93	ABC transporter
HisG	PF01634.18	160	TARA_ION_MAG_00012_000000000011_19	-	213	1.2e-46	158.6	0.0	1	1	8.7e-51	1.6e-46	158.2	0.0	1	158	52	206	52	208	0.92	ATP phosphoribosyltransferase
HAGH_C	PF16123.5	80	TARA_ION_MAG_00012_000000000011_20	-	249	1.3e-15	57.7	1.1	1	1	2.3e-19	2.1e-15	57.0	1.1	1	80	178	247	178	247	0.98	Hydroxyacylglutathione hydrolase C-terminus
Ribonuc_L-PSP	PF01042.21	121	TARA_ION_MAG_00012_000000000011_21	-	131	1.3e-39	135.0	0.0	1	1	7.8e-44	1.4e-39	134.8	0.0	2	119	10	127	9	129	0.97	Endoribonuclease L-PSP
DUF3136	PF11334.8	64	TARA_ION_MAG_00012_000000000011_22	-	76	1.4e-34	117.6	0.4	1	1	9.1e-39	1.6e-34	117.5	0.4	1	63	6	68	6	69	0.98	Protein of unknown function (DUF3136)
EutN_CcmL	PF03319.13	83	TARA_ION_MAG_00012_000000000011_24	-	86	4.3e-22	78.5	0.0	1	1	2.8e-26	5e-22	78.3	0.0	1	83	4	80	4	80	0.99	Ethanolamine utilisation protein EutN/carboxysome
EutN_CcmL	PF03319.13	83	TARA_ION_MAG_00012_000000000011_25	-	89	9.8e-21	74.1	0.1	1	1	7.1e-25	1.3e-20	73.8	0.1	1	83	1	76	1	76	0.98	Ethanolamine utilisation protein EutN/carboxysome
CsoSCA	PF08936.10	455	TARA_ION_MAG_00012_000000000011_26	-	383	4.8e-175	582.6	0.1	1	1	3e-179	5.4e-175	582.4	0.1	85	454	1	370	1	371	0.98	Carboxysome Shell Carbonic Anhydrase
GATase_7	PF13537.6	123	TARA_ION_MAG_00012_000000000012_1	-	188	1.6e-10	40.9	0.0	1	1	5e-14	3e-10	40.1	0.0	8	98	81	188	71	188	0.88	Glutamine amidotransferase domain
AIRS	PF00586.24	94	TARA_ION_MAG_00012_000000000012_2	-	780	1.7e-47	160.0	0.2	1	2	2e-28	1.2e-24	86.8	0.1	5	93	91	191	78	192	0.91	AIR synthase related protein, N-terminal domain
AIRS	PF00586.24	94	TARA_ION_MAG_00012_000000000012_2	-	780	1.7e-47	160.0	0.2	2	2	1.9e-23	1.2e-19	70.8	0.0	2	93	460	589	459	590	0.90	AIR synthase related protein, N-terminal domain
AIRS_C	PF02769.22	156	TARA_ION_MAG_00012_000000000012_2	-	780	4.7e-43	147.0	0.0	1	2	3e-36	1.8e-32	112.6	0.1	3	153	206	357	204	360	0.93	AIR synthase related protein, C-terminal domain
FGAR-AT_linker	PF18072.1	50	TARA_ION_MAG_00012_000000000012_2	-	780	4.2e-12	46.4	0.1	1	1	2e-15	1.2e-11	45.0	0.1	12	49	21	55	11	56	0.93	Formylglycinamide ribonucleotide amidotransferase linker domain
DNA_pol3_beta	PF00712.19	121	TARA_ION_MAG_00012_000000000012_4	-	387	5.3e-33	113.7	5.1	1	1	8.5e-34	5.1e-30	104.1	0.1	1	121	1	123	1	123	0.97	DNA polymerase III beta subunit, N-terminal domain
DNA_pol3_beta_2	PF02767.16	116	TARA_ION_MAG_00012_000000000012_4	-	387	1.1e-29	102.9	1.5	1	1	3.2e-29	1.9e-25	89.3	0.2	2	116	133	259	132	259	0.86	DNA polymerase III beta subunit, central domain
DNA_pol3_beta_3	PF02768.15	121	TARA_ION_MAG_00012_000000000012_4	-	387	8.1e-26	90.2	0.5	1	1	1.4e-28	8.3e-25	87.0	0.1	2	121	262	383	261	383	0.95	DNA polymerase III beta subunit, C-terminal domain
PALP	PF00291.25	294	TARA_ION_MAG_00012_000000000012_5	-	367	1e-75	254.9	0.0	1	1	6.4e-80	1.1e-75	254.7	0.0	1	294	39	332	39	332	0.95	Pyridoxal-phosphate dependent enzyme
DUF1400	PF07176.11	127	TARA_ION_MAG_00012_000000000012_6	-	191	1.3e-30	106.3	0.2	1	1	1.2e-34	2.1e-30	105.6	0.2	1	127	29	158	29	158	0.95	Alpha/beta hydrolase of unknown function (DUF1400)
Inositol_P	PF00459.25	272	TARA_ION_MAG_00012_000000000013_2	-	283	2.8e-59	200.9	0.0	1	1	1.8e-63	3.3e-59	200.6	0.0	5	264	19	271	15	278	0.93	Inositol monophosphatase family
tRNA-synt_His	PF13393.6	310	TARA_ION_MAG_00012_000000000013_3	-	384	2.4e-47	161.7	0.0	1	1	1.6e-51	2.9e-47	161.5	0.0	2	310	4	313	3	313	0.88	Histidyl-tRNA synthetase
HSP90	PF00183.18	517	TARA_ION_MAG_00012_000000000013_4	-	632	1.9e-44	152.5	21.2	1	1	1.2e-45	7.3e-42	143.9	18.3	77	468	202	608	198	630	0.80	Hsp90 protein
HATPase_c	PF02518.26	112	TARA_ION_MAG_00012_000000000013_4	-	632	1.4e-09	38.4	0.1	1	1	5.7e-13	3.4e-09	37.2	0.1	3	108	26	171	24	175	0.61	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
Ribosomal_L28	PF00830.19	60	TARA_ION_MAG_00012_000000000013_5	-	79	4.9e-21	74.7	4.3	1	1	3.2e-25	5.8e-21	74.4	4.3	1	59	3	61	3	62	0.98	Ribosomal L28 family
AhpC-TSA	PF00578.21	124	TARA_ION_MAG_00012_000000000013_6	-	178	1.3e-35	122.0	0.0	1	1	1.8e-39	1.6e-35	121.7	0.0	2	122	31	154	30	156	0.95	AhpC/TSA family
Redoxin	PF08534.10	147	TARA_ION_MAG_00012_000000000013_6	-	178	5.2e-19	68.4	0.0	1	1	7.1e-23	6.4e-19	68.1	0.0	2	129	30	155	29	173	0.84	Redoxin
DUF2499	PF10693.9	89	TARA_ION_MAG_00012_000000000013_7	-	101	1.7e-33	114.8	6.4	1	1	1.1e-37	1.9e-33	114.6	6.4	2	88	4	90	3	91	0.98	Protein of unknown function (DUF2499)
DUF3593	PF12159.8	88	TARA_ION_MAG_00012_000000000013_8	-	112	2.6e-26	91.5	6.8	1	1	1.7e-30	3.1e-26	91.2	6.8	3	85	19	101	17	104	0.97	Protein of unknown function (DUF3593)
cobW	PF02492.19	177	TARA_ION_MAG_00012_000000000014_1	-	247	6.2e-57	192.0	0.6	1	1	4.3e-61	7.7e-57	191.7	0.6	1	175	7	181	7	183	0.95	CobW/HypB/UreG, nucleotide-binding domain
Pterin_4a	PF01329.19	91	TARA_ION_MAG_00012_000000000014_2	-	97	3.2e-26	91.3	0.0	1	1	2.1e-30	3.8e-26	91.1	0.0	3	91	6	93	5	93	0.93	Pterin 4 alpha carbinolamine dehydratase
UPF0047	PF01894.17	115	TARA_ION_MAG_00012_000000000014_3	-	157	7.4e-37	126.0	0.1	1	1	5.3e-41	9.6e-37	125.7	0.1	1	115	19	146	19	146	0.93	Uncharacterised protein family UPF0047
Peptidase_M32	PF02074.15	488	TARA_ION_MAG_00012_000000000014_4	-	501	1.9e-142	475.5	0.3	1	1	1.2e-146	2.1e-142	475.3	0.3	2	487	9	494	8	495	0.96	Carboxypeptidase Taq (M32) metallopeptidase
Pyrophosphatase	PF00719.19	160	TARA_ION_MAG_00012_000000000014_5	-	196	1e-45	155.4	0.2	1	1	6.6e-50	1.2e-45	155.2	0.2	2	160	33	186	32	186	0.97	Inorganic pyrophosphatase
Porphobil_deam	PF01379.20	204	TARA_ION_MAG_00012_000000000014_6	-	315	1.7e-80	269.4	0.1	1	1	2.3e-84	2.1e-80	269.1	0.1	1	202	6	215	6	217	0.95	Porphobilinogen deaminase, dipyromethane cofactor binding domain
Porphobil_deamC	PF03900.15	75	TARA_ION_MAG_00012_000000000014_6	-	315	1e-23	83.5	0.1	1	1	2.8e-27	2.5e-23	82.2	0.1	3	74	230	298	228	299	0.94	Porphobilinogen deaminase, C-terminal domain
Sigma70_r3	PF04539.16	78	TARA_ION_MAG_00012_000000000014_7	-	396	1.5e-30	105.1	3.1	1	1	3.6e-30	1.6e-26	92.2	0.9	1	77	242	317	242	318	0.98	Sigma-70 region 3
Sigma70_r2	PF04542.14	71	TARA_ION_MAG_00012_000000000014_7	-	396	5.2e-23	80.6	0.1	1	1	2.1e-26	9.4e-23	79.8	0.1	1	71	163	233	163	233	0.97	Sigma-70 region 2
Sigma70_r4	PF04545.16	50	TARA_ION_MAG_00012_000000000014_7	-	396	3.4e-22	77.7	6.1	1	1	5.5e-25	2.5e-21	74.9	2.0	1	50	330	383	330	383	0.98	Sigma-70, region 4
DEAD	PF00270.29	176	TARA_ION_MAG_00012_000000000014_8	-	764	1.4e-13	51.0	0.0	1	1	9.7e-17	3.5e-13	49.7	0.0	6	171	233	390	228	396	0.78	DEAD/DEAH box helicase
ResIII	PF04851.15	171	TARA_ION_MAG_00012_000000000014_8	-	764	2.3e-12	47.2	0.0	1	1	2.4e-15	8.7e-12	45.4	0.0	6	170	229	389	224	390	0.75	Type III restriction enzyme, res subunit
PriA_3primeBD	PF17764.1	96	TARA_ION_MAG_00012_000000000014_8	-	764	9e-06	25.5	0.0	1	1	5.3e-09	1.9e-05	24.5	0.0	2	76	17	96	16	121	0.74	3′ DNA-binding domain (3′BD)
DUF3153	PF11353.8	191	TARA_ION_MAG_00012_000000000014_9	-	368	2.3e-28	99.1	6.6	1	1	1.3e-32	2.3e-28	99.1	6.6	2	189	169	356	168	358	0.96	Protein of unknown function (DUF3153)
AA_kinase	PF00696.28	241	TARA_ION_MAG_00012_000000000014_10	-	284	3.1e-46	157.9	1.0	1	1	2e-50	3.6e-46	157.7	1.0	2	241	24	260	23	260	0.97	Amino acid kinase family
DUF2854	PF11016.8	146	TARA_ION_MAG_00012_000000000014_11	-	177	1.2e-48	164.7	0.0	1	1	8.1e-53	1.4e-48	164.5	0.0	1	144	21	160	21	162	0.94	Protein of unknown function (DUF2854)
CbiJ	PF02571.14	236	TARA_ION_MAG_00012_000000000014_14	-	260	1.6e-48	165.3	0.0	1	1	9.7e-53	1.7e-48	165.1	0.0	1	233	10	257	10	259	0.89	Precorrin-6x reductase CbiJ/CobK
CutA1	PF03091.15	99	TARA_ION_MAG_00012_000000000014_15	-	104	1.2e-24	86.1	0.6	1	1	7.8e-29	1.4e-24	85.8	0.6	2	98	6	100	5	101	0.94	CutA1 divalent ion tolerance protein
PfkB	PF00294.24	302	TARA_ION_MAG_00012_000000000014_16	-	336	1.9e-50	171.9	0.0	1	1	1.5e-54	2.7e-50	171.4	0.0	22	297	53	325	42	328	0.91	pfkB family carbohydrate kinase
Adenylsucc_synt	PF00709.21	419	TARA_ION_MAG_00012_000000000014_17	-	437	1.7e-176	587.2	0.0	1	1	1.1e-180	2e-176	587.1	0.0	1	419	4	421	4	421	0.99	Adenylosuccinate synthetase
PSII_Pbs27	PF13326.6	141	TARA_ION_MAG_00012_000000000014_18	-	151	2e-25	89.8	0.2	1	1	1.3e-29	2.3e-25	89.5	0.2	37	140	44	145	15	146	0.90	Photosystem II Pbs27
tRNA-synt_2b	PF00587.25	179	TARA_ION_MAG_00012_000000000014_19	-	597	2.6e-46	157.8	0.0	1	1	4.7e-50	4.2e-46	157.1	0.0	1	179	97	482	97	482	0.98	tRNA synthetase class II core domain (G, H, P, S and T)
Pyrophosphatase	PF00719.19	160	TARA_ION_MAG_00012_000000000014_22	-	183	5.8e-44	149.7	0.0	1	1	3.8e-48	6.8e-44	149.5	0.0	2	157	18	166	17	169	0.96	Inorganic pyrophosphatase
Glutaredoxin	PF00462.24	60	TARA_ION_MAG_00012_000000000014_23	-	123	7e-06	26.2	0.1	1	1	1.6e-09	1.4e-05	25.2	0.1	1	44	4	47	4	57	0.90	Glutaredoxin
Peptidase_S26	PF10502.9	138	TARA_ION_MAG_00012_000000000014_24	-	225	1.5e-05	24.8	0.0	1	1	5.1e-09	4.5e-05	23.2	0.0	51	131	115	202	51	206	0.75	Signal peptidase, peptidase S26
His_Phos_1	PF00300.22	194	TARA_ION_MAG_00012_000000000014_26	-	443	2.2e-99	330.9	0.0	1	2	4.6e-47	8.2e-43	146.4	0.0	1	185	5	200	5	207	0.95	Histidine phosphatase superfamily (branch 1)
His_Phos_1	PF00300.22	194	TARA_ION_MAG_00012_000000000014_26	-	443	2.2e-99	330.9	0.0	2	2	3.3e-58	6e-54	182.7	0.0	1	183	229	413	229	425	0.98	Histidine phosphatase superfamily (branch 1)
Transpeptidase	PF00905.22	306	TARA_ION_MAG_00012_000000000014_29	-	578	1.4e-60	205.1	0.1	1	1	1.9e-64	1.7e-60	204.8	0.1	1	306	261	563	261	563	0.94	Penicillin binding protein transpeptidase domain
TAL_FSA	PF00923.19	287	TARA_ION_MAG_00012_000000000014_30	-	333	1.9e-94	316.2	0.2	1	1	1.2e-98	2.2e-94	316.0	0.2	1	285	14	315	14	317	0.91	Transaldolase/Fructose-6-phosphate aldolase
FAD_binding_2	PF00890.24	417	TARA_ION_MAG_00012_000000000014_31	-	376	8.9e-07	28.3	0.0	1	1	5.5e-10	1.4e-06	27.7	0.0	1	44	5	47	5	55	0.89	FAD binding domain
GIDA	PF01134.22	392	TARA_ION_MAG_00012_000000000014_31	-	376	3.7e-05	23.0	0.1	1	1	3.5e-08	9e-05	21.7	0.1	1	150	5	150	5	194	0.62	Glucose inhibited division protein A
RRF	PF01765.19	162	TARA_ION_MAG_00012_000000000014_32	-	183	5.3e-58	195.6	2.0	1	1	3.7e-62	6.6e-58	195.2	2.0	2	162	18	180	17	180	0.98	Ribosome recycling factor
AA_kinase	PF00696.28	241	TARA_ION_MAG_00012_000000000014_33	-	235	1.5e-29	103.3	0.8	1	1	9.9e-34	1.8e-29	103.1	0.8	1	241	4	213	4	213	0.94	Amino acid kinase family
CobA_CobO_BtuR	PF02572.15	172	TARA_ION_MAG_00012_000000000014_34	-	221	8.2e-60	202.0	0.1	1	1	1.2e-63	1.1e-59	201.6	0.1	2	172	48	220	47	220	0.98	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP
Ferrochelatase	PF00762.19	317	TARA_ION_MAG_00012_000000000014_36	-	392	1.8e-112	375.5	0.0	1	1	1.1e-116	2e-112	375.4	0.0	1	314	3	323	3	326	0.96	Ferrochelatase
TPP_enzyme_N	PF02776.18	172	TARA_ION_MAG_00012_000000000014_37	-	590	2.6e-54	183.4	0.0	1	1	1.9e-57	1.1e-53	181.3	0.0	2	165	22	187	21	191	0.98	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
TPP_enzyme_M	PF00205.22	137	TARA_ION_MAG_00012_000000000014_37	-	590	7.9e-51	171.4	0.2	1	1	2.5e-54	1.5e-50	170.5	0.2	3	135	218	349	216	351	0.98	Thiamine pyrophosphate enzyme, central domain
TPP_enzyme_C	PF02775.21	153	TARA_ION_MAG_00012_000000000014_37	-	590	1.1e-49	168.1	0.0	1	1	1.3e-52	7.8e-49	165.4	0.0	1	153	410	558	410	558	0.96	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
Cu-oxidase_4	PF02578.15	231	TARA_ION_MAG_00012_000000000014_39	-	258	4.1e-40	137.8	0.0	1	1	2.8e-44	5e-40	137.5	0.0	42	230	60	255	41	256	0.88	Multi-copper polyphenol oxidoreductase laccase
Tab2_like	PF06485.11	268	TARA_ION_MAG_00012_000000000014_40	-	301	1.3e-81	274.0	0.1	1	1	8.3e-86	1.5e-81	273.9	0.1	1	268	17	294	17	294	0.98	RNA-binding protein Tab2/Atab2
S1	PF00575.23	75	TARA_ION_MAG_00012_000000000014_41	-	405	3.6e-27	94.5	1.5	2	3	1e-09	1.8e-05	25.0	0.0	5	73	223	285	220	287	0.91	S1 RNA binding domain
Creatininase	PF02633.14	241	TARA_ION_MAG_00012_000000000014_42	-	239	1e-56	192.1	0.0	1	1	6.3e-61	1.1e-56	192.0	0.0	2	226	12	237	11	238	0.93	Creatinine amidohydrolase
Ald_deCOase	PF11266.8	218	TARA_ION_MAG_00012_000000000014_43	-	244	1.8e-111	371.1	4.6	1	1	1.1e-115	2e-111	370.9	4.6	1	218	25	242	25	242	0.99	Long-chain fatty aldehyde decarbonylase
ACCA	PF03255.14	144	TARA_ION_MAG_00012_000000000014_45	-	336	3.2e-57	192.4	0.0	1	1	6e-61	5.4e-57	191.7	0.0	2	144	7	149	6	149	0.99	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
adh_short	PF00106.25	195	TARA_ION_MAG_00012_000000000014_46	-	236	6.5e-46	156.3	0.0	1	1	1.4e-49	8.3e-46	155.9	0.0	2	189	3	189	2	194	0.98	short chain dehydrogenase
adh_short_C2	PF13561.6	234	TARA_ION_MAG_00012_000000000014_46	-	236	2.3e-37	128.8	0.0	1	1	4.7e-41	2.8e-37	128.5	0.0	1	222	8	222	8	225	0.93	Enoyl-(Acyl carrier protein) reductase
GTP_cyclohydroI	PF01227.22	179	TARA_ION_MAG_00012_000000000014_47	-	248	1.9e-52	177.3	0.0	1	1	1.4e-56	2.5e-52	176.9	0.0	3	178	62	238	60	239	0.93	GTP cyclohydrolase I
PRAI	PF00697.22	194	TARA_ION_MAG_00012_000000000014_48	-	218	1.3e-31	109.9	0.1	1	1	8.2e-36	1.5e-31	109.7	0.1	1	193	8	213	8	214	0.89	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
BPL_LplA_LipB	PF03099.19	131	TARA_ION_MAG_00012_000000000014_50	-	239	9.9e-06	25.5	0.0	1	1	1.7e-09	3.1e-05	23.9	0.0	23	129	70	177	56	179	0.70	Biotin/lipoate A/B protein ligase family
